id,child_id,child_first_name,child_last_name,start,end,type,method,amount,notes,tags
763,1,JOJO,,2022-09-23 13:05:00,2022-09-23 13:38:00,formula,bottle,120.0,,
762,1,JOJO,,2022-09-23 07:33:00,2022-09-23 08:00:00,formula,bottle,150.0,,
761,1,JOJO,,2022-09-23 04:27:00,2022-09-23 04:45:00,formula,bottle,80.0,,
760,1,JOJO,,2022-09-22 22:57:00,2022-09-22 23:04:00,formula,bottle,150.0,,
759,1,JOJO,,2022-09-22 16:50:00,2022-09-22 16:59:00,breast milk,bottle,120.0,,
758,1,JOJO,,2022-09-22 14:30:00,2022-09-22 14:48:00,breast milk,bottle,100.0,,
757,1,JOJO,,2022-09-22 09:28:00,2022-09-22 09:28:00,formula,bottle,150.0,,
756,1,JOJO,,2022-09-22 05:55:00,2022-09-22 06:13:00,formula,bottle,120.0,,
755,1,JOJO,,2022-09-22 01:26:00,2022-09-22 02:00:00,formula,bottle,120.0,,
754,1,JOJO,,2022-09-21 22:23:00,2022-09-21 22:23:00,breast milk,right breast,,,
753,1,JOJO,,2022-09-21 20:05:00,2022-09-21 20:12:00,breast milk,bottle,100.0,,
752,1,JOJO,,2022-09-21 16:28:00,2022-09-21 16:28:00,formula,bottle,150.0,,
751,1,JOJO,,2022-09-21 12:00:00,2022-09-21 12:00:00,formula,bottle,150.0,,
750,1,JOJO,,2022-09-21 07:35:00,2022-09-21 08:04:00,breast milk,bottle,160.0,,
749,1,JOJO,,2022-09-21 03:04:00,2022-09-21 03:14:00,formula,bottle,110.0,,
748,1,JOJO,,2022-09-20 22:20:00,2022-09-20 22:32:00,formula,bottle,100.0,,
747,1,JOJO,,2022-09-20 17:30:00,2022-09-20 17:52:00,formula,bottle,150.0,,
746,1,JOJO,,2022-09-20 12:50:00,2022-09-20 13:31:00,breast milk,bottle,150.0,,
745,1,JOJO,,2022-09-20 08:02:00,2022-09-20 09:51:00,breast milk,bottle,150.0,,
744,1,JOJO,,2022-09-20 05:05:00,2022-09-20 05:23:00,breast milk,right breast,,,
743,1,JOJO,,2022-09-20 02:02:00,2022-09-20 02:02:00,formula,bottle,120.0,,
742,1,JOJO,,2022-09-19 21:44:00,2022-09-19 21:47:00,formula,bottle,110.0,,
741,1,JOJO,,2022-09-19 15:50:00,2022-09-19 16:11:00,formula,bottle,150.0,,
740,1,JOJO,,2022-09-19 10:16:00,2022-09-19 10:51:00,breast milk,bottle,160.0,,
739,1,JOJO,,2022-09-19 06:30:00,2022-09-19 06:59:00,formula,bottle,120.0,,
738,1,JOJO,,2022-09-19 01:59:00,2022-09-19 01:59:00,formula,bottle,110.0,,
737,1,JOJO,,2022-09-18 21:40:00,2022-09-18 21:41:00,formula,bottle,110.0,,
736,1,JOJO,,2022-09-18 14:37:00,2022-09-18 15:27:00,formula,bottle,130.0,,
735,1,JOJO,,2022-09-18 10:48:00,2022-09-18 10:49:00,breast milk,bottle,120.0,,
734,1,JOJO,,2022-09-18 06:18:00,2022-09-18 06:40:00,formula,bottle,150.0,,
733,1,JOJO,,2022-09-18 03:03:00,2022-09-18 03:25:00,breast milk,right breast,,,
732,1,JOJO,,2022-09-17 23:32:00,2022-09-17 23:54:00,formula,bottle,130.0,,
731,1,JOJO,,2022-09-17 19:16:00,2022-09-17 19:16:00,formula,bottle,30.0,,
730,1,JOJO,,2022-09-17 16:23:00,2022-09-17 17:41:00,formula,bottle,60.0,,
729,1,JOJO,,2022-09-17 12:40:00,2022-09-17 12:50:00,formula,bottle,150.0,,
